ID  Nome  Mestre  Regiao  Rank
09983 Gloom Elisa Kanto E
01173 Silcoon Melise Johto E
02919 Silcoon Vanessa Galar B
08646 Silcoon Vanessa Kanto A
08539 Squirtle Melise Sinnoh B
05280 Dragonite Rod.Lima Unova D
07540 Golbat Rod.Lima Paldea B
06408 Zubat Vanessa Sinnoh C
01114 Furret Minoru Alola D
09625 Roserade Melise Sinnoh C
04254 Charmander Melise Galar E
09946 Roserade Melise Kanto B
00085 Caterpie Minoru Unova E
02382 Gloom Minoru Hoenn D
02260 Squirtle Elisa Paldea A
05429 Pikachu Minoru Johto A
06837 Zubat Elisa Hisui D
06818 Bulbasaur Baldochi Paldea D
03784 Charizard Baldochi Hoenn D
08866 Furret Rafael Sinnoh D
05761 Bulbasaur Rafael Unova C
08567 Vaporeon Minoru Kanto A
00842 Furret Vanessa Paldea B
06473 Pikachu Elisa Unova E
02276 Dragonite Rafael Alola B
08864 Mewtwo Philipe Galar E
07091 Bulbasaur Rod.Lima Kanto A
09893 Golbat Melise Hisui A
08801 Mewtwo Elisa Johto A
06891 Roserade Elisa Hisui C
00367 Bulbasaur Baldochi Kanto B
06875 Zubat Melise Galar D
00742 Furret Baldochi Paldea D
03257 Gloom Elisa Kalos A
00224 Crobat Minoru Johto A
02467 Zubat Minoru Kanto E
06472 Dragonite Vanessa Johto C
09680 Pikachu Rafael Kalos E
05584 Mewtwo Elisa Kanto A
02654 Rattata Melise Unova C
05380 Rattata Rod.Lima Galar E
06280 Gloom Elisa Kanto C
05350 Silcoon Philipe Unova E
07754 Furret Philipe Johto B
06409 Charizard Vanessa Kanto B
01307 Squirtle Philipe Unova C
08859 Charizard Baldochi Unova E
09118 Metapod Rafael Kalos A
08230 Golbat Rafael Unova B
00446 Caterpie Rafael Galar C
06319 Gloom Rafael Paldea A
00385 Charmander Elisa Johto A
01256 Squirtle Vanessa Kanto E
01826 Crobat Rafael Hisui B
00469 Charmander Philipe Sinnoh B
04278 Furret Baldochi Kanto A
09404 Dragonite Melise Kanto C
08466 Bulbasaur Melise Johto B
02306 Caterpie Baldochi Alola C
06007 Rattata Vanessa Hoenn D
01451 Caterpie Minoru Hoenn E
01064 Charmander Baldochi Hisui D
07662 Rattata Philipe Hoenn A
02336 Caterpie Rafael Hisui E
07338 Pikachu Vanessa Unova E
07868 Metapod Rod.Lima Hisui D
03350 Squirtle Rafael Johto B
06039 Rattata Vanessa Hisui C
03409 Vaporeon Minoru Kanto B
06302 Charizard Elisa Sinnoh B
04734 Crobat Rafael Hisui C
03794 Charizard Elisa Kanto A
08257 Mewtwo Rafael Paldea C
08417 Rattata Vanessa Hisui C
08597 Gloom Rod.Lima Kanto A
03287 Caterpie Vanessa Galar A
05195 Rattata Vanessa Unova C
07751 Vaporeon Minoru Hisui B
05300 Vaporeon Elisa Paldea A
02804 Bulbasaur Minoru Kalos D
04490 Vaporeon Rod.Lima Johto B
09578 Rattata Minoru Alola D
03590 Charmander Philipe Kalos C
02933 Charmander Philipe Hoenn B
03116 Metapod Philipe Paldea A
08844 Caterpie Minoru Alola D
08144 Dragonite Philipe Hisui B
08131 Rattata Baldochi Hisui D
01423 Rattata Baldochi Galar C
05821 Zubat Baldochi Paldea E
03845 Squirtle Elisa Sinnoh B
07686 Charizard Rod.Lima Sinnoh A
00807 Bulbasaur Baldochi Alola B
03233 Dragonite Elisa Hoenn C
08853 Pikachu Philipe Galar A
09822 Zubat Vanessa Paldea C
04820 Zubat Minoru Paldea A
07985 Squirtle Melise Alola D
02498 Vaporeon Minoru Kalos D
03654 Furret Elisa Johto D
06552 Metapod Philipe Hoenn C
00001 Bulbasaur Vanessa Hoenn C
08207 Caterpie Melise Alola C
02687 Squirtle Vanessa Hisui E
03039 Caterpie Baldochi Galar B
04199 Silcoon Rafael Alola A
02258 Caterpie Melise Unova C
00210 Rattata Elisa Paldea D
01229 Dragonite Melise Kalos D
05214 Zubat Philipe Sinnoh D
03435 Dragonite Melise Johto D
01375 Metapod Rafael Kanto A
04962 Charmander Elisa Unova C
05786 Vaporeon Baldochi Galar A
01695 Pikachu Minoru Paldea E
07925 Silcoon Baldochi Paldea E
08751 Furret Elisa Galar C
04639 Charizard Rafael Galar E
07602 Gloom Rod.Lima Johto B
01076 Mewtwo Baldochi Kanto C
02250 Roserade Melise Sinnoh C
01030 Roserade Melise Unova A
00490 Charmander Melise Hoenn C
05987 Crobat Rafael Alola B
00057 Rattata Melise Johto D
04708 Squirtle Rafael Johto A
00502 Rattata Baldochi Kanto E
01778 Squirtle Vanessa Kalos C
02803 Gloom Vanessa Hisui A
01534 Vaporeon Baldochi Sinnoh C
05509 Charizard Rod.Lima Kanto E
03876 Squirtle Philipe Sinnoh A
01587 Roserade Rafael Alola E
08075 Silcoon Rod.Lima Galar B
03795 Charizard Elisa Kalos B
04260 Dragonite Rod.Lima Alola A
09317 Vaporeon Minoru Kalos A
05483 Golbat Elisa Kalos E
08944 Pikachu Baldochi Hoenn A
05796 Gloom Melise Kalos C
05095 Caterpie Melise Johto A
06242 Furret Vanessa Kanto B
02483 Caterpie Minoru Kanto A
04887 Squirtle Minoru Unova E
09382 Mewtwo Rafael Kalos D
04098 Charmander Baldochi Kanto C
00679 Caterpie Rod.Lima Kalos E
07521 Crobat Rod.Lima Galar E
05733 Furret Rafael Hoenn E
09616 Caterpie Melise Kanto D
08840 Bulbasaur Elisa Hisui C
07153 Caterpie Vanessa Hisui C
07396 Caterpie Minoru Paldea D
03782 Caterpie Minoru Unova E
03214 Vaporeon Baldochi Paldea D
06681 Caterpie Minoru Alola E
03442 Silcoon Rod.Lima Paldea B
05852 Furret Minoru Hisui B
00495 Golbat Vanessa Galar A
03195 Mewtwo Melise Hisui E
06929 Crobat Vanessa Unova C
02885 Bulbasaur Elisa Kalos D
05742 Mewtwo Baldochi Johto E
04804 Roserade Rod.Lima Paldea D
03889 Rattata Elisa Paldea A
00787 Bulbasaur Elisa Hoenn B
01887 Bulbasaur Vanessa Alola A
07865 Charmander Minoru Alola B
01582 Roserade Melise Paldea B
00297 Rattata Elisa Galar E
05254 Bulbasaur Philipe Kanto A
09561 Dragonite Elisa Paldea D
01297 Gloom Philipe Hisui D
05543 Furret Melise Sinnoh A
06642 Charmander Baldochi Hisui D
01667 Vaporeon Minoru Sinnoh B
03332 Vaporeon Rod.Lima Kanto A
08728 Vaporeon Rafael Sinnoh E
07303 Gloom Rod.Lima Paldea A
01385 Vaporeon Vanessa Sinnoh A
04929 Metapod Vanessa Galar E
03893 Squirtle Elisa Paldea A
02193 Gloom Vanessa Kalos C
07555 Golbat Rod.Lima Sinnoh D
04674 Furret Melise Johto B
09514 Crobat Elisa Sinnoh A
01565 Furret Baldochi Johto A
03232 Zubat Rafael Galar B
08225 Golbat Baldochi Kalos B
05787 Squirtle Baldochi Hoenn D
04954 Metapod Minoru Kanto A
04630 Golbat Melise Kanto A
09327 Pikachu Elisa Paldea E
00696 Charmander Minoru Hoenn D
09621 Rattata Baldochi Johto D
07279 Charmander Philipe Unova E
06246 Crobat Rafael Hoenn D
05316 Charizard Minoru Sinnoh D
05251 Gloom Rod.Lima Sinnoh A
04739 Rattata Philipe Kanto E
06443 Roserade Rafael Hoenn B
07982 Metapod Elisa Unova C
00976 Rattata Minoru Unova B
08892 Furret Rafael Sinnoh A
09725 Dragonite Melise Paldea C
01902 Gloom Rafael Johto A
08430 Pikachu Philipe Sinnoh A
09242 Squirtle Vanessa Alola E
04137 Silcoon Philipe Kanto E
00929 Dragonite Melise Hisui B
01269 Golbat Rafael Galar A
05462 Mewtwo Melise Unova B
00673 Pikachu Melise Kalos C
04878 Golbat Melise Paldea E
01922 Bulbasaur Rod.Lima Galar E
01224 Caterpie Baldochi Hoenn D
08575 Furret Rod.Lima Sinnoh C
03226 Zubat Melise Galar E
06065 Rattata Melise Sinnoh D
08909 Rattata Minoru Hoenn C
04351 Squirtle Baldochi Hoenn C
04737 Crobat Vanessa Kanto D
09583 Gloom Elisa Unova C
03863 Roserade Melise Unova C
09919 Zubat Minoru Alola A
03745 Gloom Baldochi Kalos C
07416 Silcoon Melise Sinnoh D
05860 Squirtle Rod.Lima Kanto A
04450 Zubat Melise Paldea C
00683 Furret Rod.Lima Alola D
06979 Zubat Rafael Galar E
03322 Metapod Philipe Unova D
09274 Pikachu Rod.Lima Hisui C
02083 Gloom Philipe Kalos A
02615 Golbat Baldochi Kanto E
01085 Golbat Melise Kanto E
07661 Golbat Vanessa Alola C
03140 Silcoon Elisa Unova B
03888 Roserade Minoru Hoenn C
08706 Bulbasaur Vanessa Sinnoh B
06950 Roserade Rafael Alola C
00496 Dragonite Vanessa Hoenn A
06041 Silcoon Minoru Hoenn A
00227 Charizard Philipe Kalos E
05807 Gloom Rafael Alola D
01355 Pikachu Baldochi Unova E
09631 Bulbasaur Philipe Unova A
02426 Roserade Rod.Lima Sinnoh D
07300 Roserade Baldochi Kalos B
05521 Silcoon Rafael Hoenn A
00576 Vaporeon Vanessa Galar A
07877 Golbat Elisa Kalos C
06964 Rattata Minoru Sinnoh A
03145 Furret Rod.Lima Kanto E
04430 Zubat Elisa Galar E
05301 Dragonite Philipe Hoenn B
07578 Mewtwo Vanessa Hoenn D
06196 Crobat Baldochi Galar C
03365 Roserade Melise Paldea C
08302 Dragonite Minoru Hoenn A
09046 Mewtwo Vanessa Paldea E
00219 Charizard Elisa Galar D
04371 Dragonite Vanessa Hoenn D
03585 Pikachu Rod.Lima Sinnoh E
06305 Mewtwo Elisa Unova D
06810 Golbat Minoru Johto C
02548 Bulbasaur Melise Johto E
03023 Roserade Philipe Kanto C
05616 Caterpie Vanessa Paldea A
02855 Caterpie Philipe Sinnoh C
08957 Golbat Elisa Kalos C
03668 Mewtwo Minoru Kalos A
05966 Rattata Baldochi Johto B
02295 Squirtle Baldochi Sinnoh B
03600 Golbat Minoru Alola A
04568 Pikachu Philipe Alola C
02529 Charmander Minoru Unova C
00457 Roserade Baldochi Johto A
09969 Mewtwo Minoru Kanto E
02420 Metapod Baldochi Galar A
00298 Metapod Philipe Hoenn A
09694 Caterpie Minoru Kalos A
01095 Silcoon Vanessa Hoenn A
08025 Rattata Rod.Lima Kanto B
02388 Zubat Baldochi Hisui D
04416 Crobat Rafael Sinnoh D
01342 Charizard Melise Alola D
00718 Metapod Elisa Kalos E
07206 Silcoon Rod.Lima Galar B
02346 Mewtwo Rod.Lima Galar B
01665 Charmander Melise Galar D
06350 Bulbasaur Elisa Galar C
08889 Gloom Minoru Unova E
01738 Mewtwo Philipe Sinnoh D
03508 Vaporeon Baldochi Hoenn E
07715 Gloom Elisa Kanto C
04746 Zubat Melise Kalos A
09900 Caterpie Melise Hisui E
07199 Dragonite Philipe Hoenn E
00682 Metapod Elisa Sinnoh E
08893 Silcoon Rafael Kanto B
09383 Dragonite Baldochi Sinnoh D
04787 Pikachu Philipe Sinnoh B
06244 Furret Vanessa Sinnoh E
07259 Golbat Minoru Sinnoh E
08863 Metapod Minoru Galar E
05291 Caterpie Baldochi Unova A
02371 Furret Rod.Lima Hisui C
07712 Squirtle Rod.Lima Alola D
04431 Charizard Rafael Sinnoh B
05457 Metapod Rafael Sinnoh D
06500 Bulbasaur Baldochi Kalos A
00276 Furret Melise Kalos C
02783 Gloom Minoru Alola D
04647 Bulbasaur Melise Hoenn E
02694 Mewtwo Vanessa Alola A
05672 Golbat Elisa Unova E
09145 Vaporeon Vanessa Kalos E
08243 Mewtwo Minoru Sinnoh E
08682 Crobat Elisa Sinnoh D
05009 Gloom Rod.Lima Hoenn D
07998 Squirtle Elisa Hoenn B
03108 Mewtwo Philipe Paldea D
09302 Mewtwo Vanessa Kalos D
04016 Squirtle Philipe Kalos E
09736 Roserade Minoru Johto A
08074 Metapod Rafael Johto C
03044 Caterpie Philipe Alola A
09065 Roserade Rod.Lima Alola C
05959 Mewtwo Rod.Lima Paldea E
09676 Mewtwo Rod.Lima Hisui B
03998 Crobat Baldochi Paldea E
06345 Silcoon Rod.Lima Johto C
00042 Mewtwo Minoru Hoenn E
09807 Mewtwo Rod.Lima Johto A
08565 Charizard Minoru Hoenn A
08241 Caterpie Rafael Sinnoh A
04029 Silcoon Philipe Galar A
08698 Dragonite Baldochi Hoenn C
06356 Mewtwo Minoru Unova A
02409 Silcoon Minoru Kalos D
06245 Mewtwo Minoru Paldea B
07958 Crobat Baldochi Alola D
08183 Bulbasaur Baldochi Kalos D
09016 Metapod Philipe Hoenn E
08033 Metapod Rod.Lima Sinnoh E
01574 Dragonite Melise Alola C
08134 Pikachu Minoru Hisui E
05252 Squirtle Vanessa Unova A
04822 Squirtle Elisa Paldea E
09487 Charmander Minoru Sinnoh C
07567 Pikachu Rafael Kalos C
07967 Furret Baldochi Unova A
09596 Charizard Vanessa Unova D
02221 Zubat Minoru Johto D
03753 Squirtle Rafael Kalos B
03124 Golbat Philipe Sinnoh E
01051 Crobat Vanessa Hisui B
